Priority,URL,Type,Locale
0.8,https://rateships.com/en/shipping/india-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/india-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/india-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/india-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/india-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-brazil,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-canada,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-china,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-france,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-germany,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-india,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-italy,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-japan,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-united-kingdom,corridor,en
0.8,https://rateships.com/en/shipping/indonesia-to-united-states,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/italy-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/japan-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-brazil,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-canada,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-china,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-france,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-germany,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-india,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-italy,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-japan,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-united-kingdom,corridor,en
0.8,https://rateships.com/en/shipping/mexico-to-united-states,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-brazil,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-canada,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-china,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-france,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-germany,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-india,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-italy,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-japan,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-russia,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-united-kingdom,corridor,en
0.8,https://rateships.com/en/shipping/netherlands-to-united-states,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-brazil,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-canada,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-china,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-france,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-germany,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-india,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-indonesia,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-italy,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-japan,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-mexico,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-netherlands,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-saudi-arabia,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-south-korea,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-spain,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-switzerland,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-turkey,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-united-kingdom,corridor,en
0.8,https://rateships.com/en/shipping/russia-to-united-states,corridor,en
0.8,https://rateships.com/en/shipping/saudi-arabia-to-australia,corridor,en
0.8,https://rateships.com/en/shipping/saudi-arabia-to-brazil,corridor,en
0.8,https://rateships.com/en/shipping/saudi-arabia-to-canada,corridor,en
